Username,ID,Last Name,Password,Concerts Purchased,First Name,TicketMiner Membership,Money Available
rebeccabrown,435,Brown,Fun!23,0,Rebecca,false,4011.78
ryanbrown,529,Brown,Fun!23,0,Ryan,false,8600.87
phillipbrown,582,Brown,Fun!23,0,Phillip,true,7246.14
craigbrown,777,Brown,Fun!23,0,Craig,false,6396.46
jamiebrown,996,Brown,Fun!23,0,Jamie,true,4143.24
angelicabruce,269,Bruce,Fun!23,0,Angelica,true,9477
jesusbruno,45,Bruno,Fun!23,0,Jesus,false,6720.14
douglasbryant,733,Bryant,Fun!23,0,Douglas,true,8398.58
daltonbryant,925,Bryant,Fun!23,0,Dalton,false,4394.36
kimbuckley,195,Buckley,Fun!23,0,Kim,true,5207.3
ericaburch,924,Burch,Fun!23,0,Erica,true,7996.5
roseburgess,646,Burgess,Fun!23,0,Rose,true,3304.62
jasonburke,159,Burke,Fun!23,0,Jason,false,9265.29
leeburke,212,Burke,Fun!23,0,Lee,true,7978.55
travisburton,692,Burton,Fun!23,0,Travis,false,3157.78
samuelburton,977,Burton,Fun!23,0,Samuel,true,5614.37
markbutler,1020,Butler,Fun!23,0,Mark,false,8747.69
anthonybyrd,978,Byrd,Fun!23,0,Anthony,false,7780.72
corybyrd,1036,Byrd,Fun!23,0,Cory,true,9003.45
victorcabral,46,Cabral,Fun!23,0,Victor,true,5689.48
armandocabrera,47,Cabrera,Fun!23,0,Armando,false,9734.41
stevencabrera,440,Cabrera,Fun!23,0,Steven,true,6607.32
alexandercameron,332,Cameron,Fun!23,0,Alexander,false,6430.61
matthewcampbell,313,Campbell,Fun!23,0,Matthew,true,9234.99
zacharycampbell,988,Campbell,Fun!23,0,Zachary,true,8296.85
andrewcampos,236,Campos,Fun!23,0,Andrew,false,7444.58
wendycampos,514,Campos,Fun!23,0,Wendy,false,7982.75
feliciacarlson,820,Carlson,Fun!23,0,Felicia,false,9031.98
angelacarney,743,Carney,Fun!23,0,Angela,false,6342.59
gregorycarr,442,Carr,Fun!23,0,Gregory,true,4707.87
jennifercarr,758,Carr,Fun!23,0,Jennifer,false,8926.1
anthonycarson,624,Carson,Fun!23,0,Anthony,false,6547.53
vanessacarson,1029,Carson,Fun!23,0,Vanessa,true,5558.99
pamelacarter,123,Carter,Fun!23,0,Pamela,false,8365.44
alexandercarter,531,Carter,Fun!23,0,Alexander,false,6657.94
christinacarter,902,Carter,Fun!23,0,Christina,true,7016.25
erikcase,243,Case,Fun!23,0,Erik,true,5697.1
rogercasey,963,Casey,Fun!23,0,Roger,true,9537.16
briancastillo,262,Castillo,Fun!23,0,Brian,false,6280.84
michaelcastillo,400,Castillo,Fun!23,0,Michael,false,6679.98
elizabethcastillo,805,Castillo,Fun!23,0,Elizabeth,false,9750.56
sharoncastillo,941,Castillo,Fun!23,0,Sharon,false,9109.57
charleschambers,1010,Chambers,Fun!23,0,Charles,true,7457.5
philipchaney,457,Chaney,Fun!23,0,Philip,true,5718.9
allisonchang,275,Chang,Fun!23,0,Allison,false,3514.77
emilychang,900,Chang,Fun!23,0,Emily,false,9413.99
marychapman,511,Chapman,Fun!23,0,Mary,true,6472.39
jennachase,533,Chase,Fun!23,0,Jenna,true,8643.55
amychase,541,Chase,Fun!23,0,Amy,false,9810.74
lorelynechavez,48,Chavez,Fun!23,0,Lorelyne,false,3506.28
daniellechavez,898,Chavez,Fun!23,0,Danielle,true,6683.19
keithchristensen,783,Christensen,Fun!23,0,Keith,false,3836.41
jonathanchristian,315,Christian,Fun!23,0,Jonathan,false,4425.11
marychurch,279,Church,Fun!23,0,Mary,true,8921.93
thomasclark,138,Clark,Fun!23,0,Thomas,true,8983
bruceclark,499,Clark,Fun!23,0,Bruce,true,7685.11
chadclark,573,Clark,Fun!23,0,Chad,false,3926.99
theresaclark,579,Clark,Fun!23,0,Theresa,false,9651.5
jasonclark,676,Clark,Fun!23,0,Jason,false,7804.2
davidclark,897,Clark,Fun!23,0,David,false,3448.83
michaelclarke,852,Clarke,Fun!23,0,Michael,false,8953.81
sarahcline,606,Cline,Fun!23,0,Sarah,false,7209.28
joecochran,491,Cochran,Fun!23,0,Joe,false,3680.28
mollycohen,204,Cohen,Fun!23,0,Molly,false,5021.2
emilycole,884,Cole,Fun!23,0,Emily,true,6901.27
christophercoleman,137,Coleman,Fun!23,0,Christopher,true,9626.64
nathancoleman,181,Coleman,Fun!23,0,Nathan,false,3994.87
laurencoleman,890,Coleman,Fun!23,0,Lauren,false,7265.71
philipcollins,414,Collins,Fun!23,0,Philip,true,7820.82
amberconley,943,Conley,Fun!23,0,Amber,false,9775.77
jamieconner,517,Conner,Fun!23,0,Jamie,true,4861.2
danielleconrad,992,Conrad,Fun!23,0,Danielle,false,8176.55
christophercontreras,98,Contreras,Fun!23,0,Christopher,true,5831.42
kimcontreras,522,Contreras,Fun!23,0,Kim,false,3895.24
jacobcontreras,628,Contreras,Fun!23,0,Jacob,true,9596.88
cassandracook,580,Cook,Fun!23,0,Cassandra,true,5092.16
alexandracook,958,Cook,Fun!23,0,Alexandra,false,9455.47
samanthacooper,484,Cooper,Fun!23,0,Samantha,true,9787.13
denniscooper,933,Cooper,Fun!23,0,Dennis,true,8754.42
jennifercopeland,447,Copeland,Fun!23,0,Jennifer,true,9460.57
nicholascopeland,642,Copeland,Fun!23,0,Nicholas,true,7028.88
elizabethcordova,356,Cordova,Fun!23,0,Elizabeth,false,6609.5
davidcosta,578,Costa,Fun!23,0,David,true,8922.14
michaelcowan,736,Cowan,Fun!23,0,Michael,false,3108.91
dorothycox,244,Cox,Fun!23,0,Dorothy,false,4030.2
davidcox,649,Cox,Fun!23,0,David,false,5391.95
christophercraig,576,Craig,Fun!23,0,Christopher,false,4547.51
monicacraig,746,Craig,Fun!23,0,Monica,true,6350.16
kimcraig,1016,Craig,Fun!23,0,Kim,true,6719.34
jadecrawford,318,Crawford,Fun!23,0,Jade,true,7960.47
allisoncross,403,Cross,Fun!23,0,Allison,true,4493.48
marycruz,291,Cruz,Fun!23,0,Mary,false,7872.78
elizabethcruz,422,Cruz,Fun!23,0,Elizabeth,false,7775.67
hollycruz,729,Cruz,Fun!23,0,Holly,true,5805
michelecummings,386,Cummings,Fun!23,0,Michele,true,4924.34
deannacummings,911,Cummings,Fun!23,0,Deanna,false,9091.78
heathercunningham,625,Cunningham,Fun!23,0,Heather,true,3054.97
jerrycurtis,134,Curtis,Fun!23,0,Jerry,true,3358.94
anthonydalton,460,Dalton,Fun!23,0,Anthony,true,3314.32
brittneydaniel,748,Daniel,Fun!23,0,Brittney,false,9724.26
brandidaniel,813,Daniel,Fun!23,0,Brandi,true,5515.79
monicadavenport,126,Davenport,Fun!23,0,Monica,false,8754.25
howarddavenport,751,Davenport,Fun!23,0,Howard,true,7515.36
hollydavidson,799,Davidson,Fun!23,0,Holly,false,8790.7
jenniferdavidson,878,Davidson,Fun!23,0,Jennifer,false,5505.01
daviddavila,443,Davila,Fun!23,0,David,true,6923.99
tanyadavis,271,Davis,Fun!23,0,Tanya,false,9965.51
robertdavis,274,Davis,Fun!23,0,Robert,false,7959.17
susandavis,294,Davis,Fun!23,0,Susan,false,8161.02
justindavis,500,Davis,Fun!23,0,Justin,false,3512.65
tiffanydavis,523,Davis,Fun!23,0,Tiffany,true,7129.74
kennethdavis,681,Davis,Fun!23,0,Kenneth,false,7957.08
annadavis,684,Davis,Fun!23,0,Anna,true,4809.83
christopherdavis,703,Davis,Fun!23,0,Christopher,false,8980.43
johndavis,707,Davis,Fun!23,0,John,false,9729.51
karldavis,858,Davis,Fun!23,0,Karl,false,9641.01
josephdavis,886,Davis,Fun!23,0,Joseph,true,7861.32
jermainedean,714,Dean,Fun!23,0,Jermaine,true,3818.16
jeffreydelgado,209,Delgado,Fun!23,0,Jeffrey,true,8350.55
mikayladennis,1011,Dennis,Fun!23,0,Mikayla,true,6294.7
fernandodesantiago,49,DeSantiago,Fun!23,0,Fernando,false,6371.83
cruelladevil,22,DeVil,Fun!23,0,Cruella,true,3970.71
devindiaz,391,Diaz,Fun!23,0,Devin,true,7419.09
brandondillon,572,Dillon,Fun!23,0,Brandon,true,5883.49
goofydisney,4,Disney,Fun!23,0,Goofy,false,4311.78
plutodisney,5,Disney,Fun!23,0,Pluto,true,5834.85
chipdisney,6,Disney,Fun!23,0,Chip,false,7947.77
daledisney,7,Disney,Fun!23,0,Dale,false,5650.24
cinderelladisney,8,Disney,Fun!23,0,Cinderella,true,3941.41
arieldisney,9,Disney,Fun!23,0,Ariel,true,6780.41
jasminedisney,10,Disney,Fun!23,0,Jasmine,true,4658.83
aladdindisney,11,Disney,Fun!23,0,Aladdin,false,3692.3
simbadisney,12,Disney,Fun!23,0,Simba,true,6433.09
mufassadisney,13,Disney,Fun!23,0,Mufassa,true,9298.66
auroradisney,14,Disney,Fun!23,0,Aurora,false,9791.57
woodydisney,16,Disney,Fun!23,0,Woody,false,7176.67
beastdisney,20,Disney,Fun!23,0,Beast,true,5112.84
belledisney,21,Disney,Fun!23,0,Belle,false,5349.25
gastondisney,25,Disney,Fun!23,0,Gaston,true,3323.9
kaadisney,28,Disney,Fun!23,0,Kaa,false,9746.07
pinocchiodisney,30,Disney,Fun!23,0,Pinocchio,true,7937.85
quasimododisney,32,Disney,Fun!23,0,Quasimodo,false,6628.31
herculesdisney,33,Disney,Fun!23,0,Hercules,false,6706.34
mulandisney,34,Disney,Fun!23,0,Mulan,true,3099.17
lilodisney,35,Disney,Fun!23,0,Lilo,false,5540.01
stitchdisney,36,Disney,Fun!23,0,Stitch,false,5921.15
terrencedixon,972,Dixon,Fun!23,0,Terrence,true,3749.26
christinadodson,694,Dodson,Fun!23,0,Christina,true,9073.78
lancedominguez,301,Dominguez,Fun!23,0,Lance,false,4735.61
christopherdominguez,363,Dominguez,Fun!23,0,Christopher,true,3824.82
elizabethdominguez,773,Dominguez,Fun!23,0,Elizabeth,false,5039.16
danielledorsey,505,Dorsey,Fun!23,0,Danielle,true,7575.26
brendadouglas,316,Douglas,Fun!23,0,Brenda,false,3947.19
donaldduck,2,Duck,Fun!23,0,Donald,false,8353.73
jacquelinedunn,284,Dunn,Fun!23,0,Jacqueline,true,3578.45
scottdunn,663,Dunn,Fun!23,0,Scott,true,4776.87
carolyndunn,875,Dunn,Fun!23,0,Carolyn,true,7298.78
jessedunn,889,Dunn,Fun!23,0,Jesse,true,3903.02
soniadurham,873,Durham,Fun!23,0,Sonia,true,3948.98
valeriaduron,50,Duron,Fun!23,0,Valeria,true,3464.82
rubenedwards,401,Edwards,Fun!23,0,Ruben,true,8358.67
richardedwards,540,Edwards,Fun!23,0,Richard,true,7689.32
martinedwards,568,Edwards,Fun!23,0,Martin,false,7250.96
antonioedwards,604,Edwards,Fun!23,0,Antonio,true,4703.06
thomaselliott,382,Elliott,Fun!23,0,Thomas,false,8503.32
carolelliott,938,Elliott,Fun!23,0,Carol,true,9967.18
tonyaelliott,1019,Elliott,Fun!23,0,Tonya,false,8171.29
stephenellis,121,Ellis,Fun!23,0,Stephen,true,7932.52
keithellis,394,Ellis,Fun!23,0,Keith,true,3782.9
christineellis,690,Ellis,Fun!23,0,Christine,true,3696.45
cynthiaellis,836,Ellis,Fun!23,0,Cynthia,true,7179.14
christianellis,866,Ellis,Fun!23,0,Christian,true,6737.25
victoriaellis,908,Ellis,Fun!23,0,Victoria,true,8760.97
zacharyellison,205,Ellison,Fun!23,0,Zachary,true,3464.8
angelaenglish,1032,English,Fun!23,0,Angela,false,8986.33
princeeric,31,Eric,Fun!23,0,Prince,false,5563.47
matthewerickson,260,Erickson,Fun!23,0,Matthew,false,9846.29
craigespinoza,165,Espinoza,Fun!23,0,Craig,true,4023.59
emilyestes,809,Estes,Fun!23,0,Emily,true,8995.28
katherineevans,102,Evans,Fun!23,0,Katherine,true,7463.93
ashleyevans,147,Evans,Fun!23,0,Ashley,true,8526.79
joseevans,489,Evans,Fun!23,0,Jose,true,6025.52
williamevans,552,Evans,Fun!23,0,William,true,5684.57
jenniferevans,767,Evans,Fun!23,0,Jennifer,false,9535.13
melissaevans,904,Evans,Fun!23,0,Melissa,false,8043.95
tylerevans,930,Evans,Fun!23,0,Tyler,true,8322.53
josefarley,688,Farley,Fun!23,0,Jose,true,10000.24
destinyferguson,233,Ferguson,Fun!23,0,Destiny,false,8912.27
jessicafernandez,399,Fernandez,Fun!23,0,Jessica,true,3351.3
christopherfields,639,Fields,Fun!23,0,Christopher,false,9502.84
bryanfields,775,Fields,Fun!23,0,Bryan,false,7690.96
eduardofigueroa,51,Figueroa,Fun!23,0,Eduardo,false,4782.53
paulfisher,231,Fisher,Fun!23,0,Paul,false,3582.16
rebeccafisher,749,Fisher,Fun!23,0,Rebecca,true,9543.51
tracyfitzgerald,786,Fitzgerald,Fun!23,0,Tracy,false,6761.19
craigfleming,831,Fleming,Fun!23,0,Craig,false,6542.4
anitafletcher,752,Fletcher,Fun!23,0,Anita,true,9592.46
brandonflores,658,Flores,Fun!23,0,Brandon,true,4147.2
michaelflores,763,Flores,Fun!23,0,Michael,false,3111.69
robertflores,956,Flores,Fun!23,0,Robert,false,9490.88
carlfoley,689,Foley,Fun!23,0,Carl,false,4798.16
alexisford,251,Ford,Fun!23,0,Alexis,true,6399.66
shirleyfoster,208,Foster,Fun!23,0,Shirley,false,7599.07
christopherfoster,367,Foster,Fun!23,0,Christopher,false,4963.81
danielfoster,371,Foster,Fun!23,0,Daniel,false,8609.22
jeremyfoster,762,Foster,Fun!23,0,Jeremy,true,8853.61
alexandrafox,462,Fox,Fun!23,0,Alexandra,false,4915.83
michaelfox,486,Fox,Fun!23,0,Michael,true,6785.05
sarafox,761,Fox,Fun!23,0,Sara,true,6665.24
normanfreeman,390,Freeman,Fun!23,0,Norman,true,7658.25
josephfritz,823,Fritz,Fun!23,0,Joseph,false,4330.46
jessicafrye,498,Frye,Fun!23,0,Jessica,true,8342.76
ashleyfrye,946,Frye,Fun!23,0,Ashley,false,3008.27
amyfuller,968,Fuller,Fun!23,0,Amy,true,8038.29
lisagaines,314,Gaines,Fun!23,0,Lisa,false,6345.88
chelseagallagher,108,Gallagher,Fun!23,0,Chelsea,false,4147.76
jerrygamble,739,Gamble,Fun!23,0,Jerry,true,8910.18
alangamez,52,Gamez,Fun!23,0,Alan,false,4020.06
dianagarcia,53,Garcia,Fun!23,0,Diana,true,7060.26
andrewgarcia,175,Garcia,Fun!23,0,Andrew,false,9905.49
susangarcia,277,Garcia,Fun!23,0,Susan,true,6529.62
kimberlygarcia,335,Garcia,Fun!23,0,Kimberly,false,7432.8
davidgardner,145,Gardner,Fun!23,0,David,true,6672.54
rickygardner,564,Gardner,Fun!23,0,Ricky,true,3864.2
daniellegardner,574,Gardner,Fun!23,0,Danielle,true,5875.52
teresagardner,657,Gardner,Fun!23,0,Teresa,true,7622.64
edgargarnica,54,Garnica,Fun!23,0,Edgar,true,5807.58
lisagarrett,220,Garrett,Fun!23,0,Lisa,true,9812.96
briangates,602,Gates,Fun!23,0,Brian,false,7997
darrengibbs,611,Gibbs,Fun!23,0,Darren,false,5071
georgegilbert,855,Gilbert,Fun!23,0,George,true,5746.7
cynthiagiles,685,Giles,Fun!23,0,Cynthia,true,5947.11
sharongillespie,935,Gillespie,Fun!23,0,Sharon,false,6695.59
ashleygilmore,55,Gilmore,Fun!23,0,Ashley,false,5929.56
patriciaglenn,344,Glenn,Fun!23,0,Patricia,true,8877.83
christiangomez,56,Gomez,Fun!23,0,Christian,true,8752.5
joshuagomez,845,Gomez,Fun!23,0,Joshua,true,4187.5
bobbygonzales,558,Gonzales,Fun!23,0,Bobby,true,5956.83
pauliejogonzalez,39,Gonzalez,Fun!23,0,PaulieJo,false,6137.73
jeffreygonzalez,373,Gonzalez,Fun!23,0,Jeffrey,false,8601.09
matthewgonzalez,645,Gonzalez,Fun!23,0,Matthew,false,8140.27
marygonzalez,686,Gonzalez,Fun!23,0,Mary,true,3072.88
markgonzalez,862,Gonzalez,Fun!23,0,Mark,true,8992.48
brandigordon,482,Gordon,Fun!23,0,Brandi,true,3482.6
kevingould,485,Gould,Fun!23,0,Kevin,true,7028.71
derrickgrant,150,Grant,Fun!23,0,Derrick,true,6186.01
marygrant,927,Grant,Fun!23,0,Mary,true,7710.67
beckygray,431,Gray,Fun!23,0,Becky,false,5481.37
chadgreen,821,Green,Fun!23,0,Chad,false,4792.46
timothygreene,989,Greene,Fun!23,0,Timothy,true,7332.39
austingriffin,105,Griffin,Fun!23,0,Austin,false,4069.83
sarahgriffin,682,Griffin,Fun!23,0,Sarah,true,6178.64
michellegriffin,803,Griffin,Fun!23,0,Michelle,false,5048.34
davidgross,246,Gross,Fun!23,0,David,false,8521.22
mitchellgross,951,Gross,Fun!23,0,Mitchell,false,4747.59
robertogutierrez,226,Gutierrez,Fun!23,0,Roberto,false,5254.58
annagutierrez,238,Gutierrez,Fun!23,0,Anna,false,8387.12
juliangutierrez,483,Gutierrez,Fun!23,0,Julian,false,5444.44
jenniferguzman,725,Guzman,Fun!23,0,Jennifer,true,4291.6
kayleehale,528,Hale,Fun!23,0,Kaylee,false,3432.21
jorgehaley,721,Haley,Fun!23,0,Jorge,false,3331.27
laurenhall,281,Hall,Fun!23,0,Lauren,true,8005.13
lorihall,666,Hall,Fun!23,0,Lori,false,5360.14
thomashall,708,Hall,Fun!23,0,Thomas,false,8490.94
colleenhall,792,Hall,Fun!23,0,Colleen,true,3233.81
amyhall,954,Hall,Fun!23,0,Amy,false,5532.12
andrewhall,1001,Hall,Fun!23,0,Andrew,true,9326.62
jameshammond,190,Hammond,Fun!23,0,James,true,5385.63
danielhampton,133,Hampton,Fun!23,0,Daniel,false,8876.87
jerryhampton,451,Hampton,Fun!23,0,Jerry,false,8245.93
josephhanna,1003,Hanna,Fun!23,0,Joseph,true,5298.32
gabrielhansen,496,Hansen,Fun!23,0,Gabriel,false,4590.15
johnhansen,973,Hansen,Fun!23,0,John,true,7794.58
anthonyhardin,389,Hardin,Fun!23,0,Anthony,false,9586.62
bryanhardy,326,Hardy,Fun!23,0,Bryan,true,6186.54
theresahardy,468,Hardy,Fun!23,0,Theresa,true,4850.2
paulharmon,860,Harmon,Fun!23,0,Paul,true,9439.39
dakotaharper,553,Harper,Fun!23,0,Dakota,true,8081.91
samuelharrington,174,Harrington,Fun!23,0,Samuel,true,3792.67
stephanieharris,153,Harris,Fun!23,0,Stephanie,true,7724.78
dylanharris,155,Harris,Fun!23,0,Dylan,true,9938.38
kellyharris,551,Harris,Fun!23,0,Kelly,false,5570.25
victorharris,717,Harris,Fun!23,0,Victor,true,9917.18
kimberlyharris,1031,Harris,Fun!23,0,Kimberly,true,9833.11
ericaharrison,101,Harrison,Fun!23,0,Erica,true,4790.3
kevinharrison,857,Harrison,Fun!23,0,Kevin,false,9677.83
vincentharrison,961,Harrison,Fun!23,0,Vincent,true,4534.72
nicolehart,750,Hart,Fun!23,0,Nicole,false,3204.54
rachelhart,765,Hart,Fun!23,0,Rachel,true,8032.62
stevenhartman,660,Hartman,Fun!23,0,Steven,true,6434.72
nicoleharvey,288,Harvey,Fun!23,0,Nicole,true,8100.11
davidharvey,600,Harvey,Fun!23,0,David,true,7754.16
brittanyhawkins,119,Hawkins,Fun!23,0,Brittany,false,6843.13
justinhawkins,894,Hawkins,Fun!23,0,Justin,false,8341.5
brianhayes,343,Hayes,Fun!23,0,Brian,true,7477.9
crystalhayes,826,Hayes,Fun!23,0,Crystal,false,3222.17
davidhayes,931,Hayes,Fun!23,0,David,true,6817.58
donaldhaynes,351,Haynes,Fun!23,0,Donald,true,5688.77
carmenhays,720,Hays,Fun!23,0,Carmen,true,9996.2
patrickhenderson,100,Henderson,Fun!23,0,Patrick,false,7781.5
jillhenderson,172,Henderson,Fun!23,0,Jill,true,7731.45
jameshenderson,241,Henderson,Fun!23,0,James,false,4268.4
jennyhenry,312,Henry,Fun!23,0,Jenny,true,4792.19
lawrencehenry,664,Henry,Fun!23,0,Lawrence,true,4378.66
marissahenry,979,Henry,Fun!23,0,Marissa,false,8164.07
paulherman,942,Herman,Fun!23,0,Paul,false,7173.73
edwardhernandez,142,Hernandez,Fun!23,0,Edward,false,4350.63
stevenhernandez,510,Hernandez,Fun!23,0,Steven,true,7302.31
jamiehernandez,577,Hernandez,Fun!23,0,Jamie,false,8508.57
douglashernandez,709,Hernandez,Fun!23,0,Douglas,true,3681.32
seanhernandez,722,Hernandez,Fun!23,0,Sean,false,4576.43
jenniferhernandez,953,Hernandez,Fun!23,0,Jennifer,false,3882.17
matthewherrera,57,Herrera,Fun!23,0,Matthew,false,3551.68
victorherreravidales,58,HerreraVidales,Fun!23,0,Victor,false,7403.08
kellyherring,885,Herring,Fun!23,0,Kelly,false,9405.48
joshuahickman,724,Hickman,Fun!23,0,Joshua,true,9229.18
alisonhicks,849,Hicks,Fun!23,0,Alison,false,8719.68
bretthiggins,879,Higgins,Fun!23,0,Brett,true,5959.03
susanhill,160,Hill,Fun!23,0,Susan,true,4049.19
perryhill,697,Hill,Fun!23,0,Perry,false,6073.53
johnhill,701,Hill,Fun!23,0,John,true,6671.5
kathleenhines,548,Hines,Fun!23,0,Kathleen,true,8906.28
williehobbs,728,Hobbs,Fun!23,0,Willie,true,9864.49
kylehodges,128,Hodges,Fun!23,0,Kyle,true,6657.11
shannonholden,177,Holden,Fun!23,0,Shannon,true,5674.21
chrisholden,259,Holden,Fun!23,0,Chris,false,4874.97
danielholguin,59,Holguin,Fun!23,0,Daniel,false,7185.24
michelleholland,127,Holland,Fun!23,0,Michelle,true,8175.81
ethanholmes,202,Holmes,Fun!23,0,Ethan,true,7278.59
philipholt,848,Holt,Fun!23,0,Philip,false,7343.08
